,precision,recall,f1-score,support
0,0.9696969696969697,0.96,0.964824120603015,100.0
1,0.9029126213592233,0.93,0.916256157635468,100.0
2,0.8681318681318682,0.79,0.8272251308900523,100.0
3,0.8598130841121495,0.92,0.8888888888888888,100.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.9001386358250527,0.9,0.899298574504356,400.0
weighted avg,0.9001386358250527,0.9,0.899298574504356,400.0
