,precision,recall,f1-score,support
0,0.9191919191919192,0.91,0.914572864321608,100.0
1,0.8181818181818182,0.81,0.8140703517587939,100.0
2,0.6826923076923077,0.71,0.696078431372549,100.0
3,0.7959183673469388,0.78,0.7878787878787878,100.0
accuracy,0.8025,0.8025,0.8025,0.8025
macro avg,0.8039961031032461,0.8025,0.8031501088329347,400.0
weighted avg,0.8039961031032459,0.8025,0.8031501088329347,400.0
