,precision,recall,f1-score,support
0,0.9591836734693877,0.94,0.9494949494949495,100.0
1,0.8773584905660378,0.93,0.9029126213592233,100.0
2,0.8350515463917526,0.81,0.8223350253807107,100.0
3,0.8787878787878788,0.87,0.8743718592964824,100.0
accuracy,0.8875,0.8875,0.8875,0.8875
macro avg,0.8875953973037642,0.8875000000000001,0.8872786138828415,400.0
weighted avg,0.8875953973037641,0.8875,0.8872786138828416,400.0
